Date,spot_ER_India,SR_interest_rate_india,SR_interest_rate_USA,SR_Interest_rate_diff_I_U,CPI_Inflation_India,CPI_inflation_USA,CPI_inflation_diff_I_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_india,US_EMV,US_MPU
2009-12-01,46.53,6,0.12,5.88,14.97,2.72,12.24,83.61,97.71,0.29,14.91,60
2010-01-01,45.89,6,0.11,5.89,16.22,2.63,13.59,88.37,111.85,0.2,22.08,90
2010-02-01,46.27,6,0.13,5.87,14.86,2.14,12.72,95.27,114.37,0.21,18.2,96
2010-03-01,45.45,6,0.16,5.84,14.86,2.31,12.55,69.33,108.59,0.18,17.01,73
2010-04-01,44.44,6,0.2,5.8,13.33,2.24,11.1,69.31,99.71,0.28,20.62,55
2010-05-01,45.77,6,0.2,5.8,13.91,2.02,11.89,24.61,141.83,0.27,26.77,73
2010-06-01,46.5,6,0.18,5.82,13.73,1.05,12.67,8.15,133.76,0.17,21.08,100
2010-07-01,46.76,6,0.18,5.82,11.25,1.24,10.01,18.64,134.73,0.27,21.91,120
2010-08-01,46.46,6,0.19,5.81,9.88,1.15,8.73,7.82,117.39,0.27,16.9,164
2010-09-01,45.87,6,0.19,5.81,9.82,1.14,8.67,8.47,126.39,0.17,17.2,149
2010-10-01,44.35,6,0.19,5.81,9.7,1.17,8.52,8.02,115.86,0.17,17.02,133
2010-11-01,44.93,6,0.19,5.81,8.33,1.14,7.19,7.92,121.6,0.26,17.12,106
2010-12-01,45.1,6,0.18,5.82,9.47,1.5,7.97,19.75,131.64,0.25,14.1,101
2011-01-01,45.38,6,0.17,5.83,9.3,1.63,7.67,14.16,116.93,0.16,18.04,58
2011-02-01,45.38,6,0.16,5.84,8.82,2.11,6.72,17.18,93.16,0.16,13.26,67
2011-03-01,44.91,6,0.14,5.86,8.82,2.68,6.14,26.7,125.89,0.22,18.44,74
2011-04-01,44.3,6,0.1,5.9,9.41,3.16,6.25,30.36,117.93,0.11,16.57,83
2011-05-01,44.9,6,0.09,5.91,8.72,3.57,5.15,37.18,86,0.22,14.91,63
2011-06-01,44.81,6,0.09,5.91,8.62,3.56,5.06,27.79,112.6,0.19,18.84,39
2011-07-01,44.4,6,0.07,5.93,8.43,3.63,4.8,27.44,155.55,0.17,25.28,101
2011-08-01,45.31,6,0.1,5.9,8.99,3.77,5.22,12.68,212.03,0.13,60.87,102
2011-09-01,47.69,6,0.08,5.92,10.06,3.87,6.19,13.78,187.87,0.19,28.1,164
2011-10-01,49.2,6,0.07,5.93,9.39,3.53,5.87,5.51,171.79,0.2,29.69,114
2011-11-01,50.68,6,0.08,5.92,9.34,3.39,5.95,15.4,204.78,0.16,22.29,84
2011-12-01,52.38,6,0.07,5.93,6.49,2.96,3.52,10.29,192.61,0.16,23.17,59
2012-01-01,51,6,0.08,5.92,5.32,2.93,2.39,11.82,168.66,0.17,21.88,92
2012-02-01,49.18,7.75,0.1,7.65,7.57,2.87,4.7,14.41,149.38,0.29,18.29,119
2012-03-01,50.36,9.5,0.13,9.37,8.65,2.65,6,3.16,149.04,0.18,16.1,55
2012-04-01,51.69,9.25,0.14,9.11,10.22,2.3,7.91,-6.19,131.76,0.27,15.36,50
2012-05-01,54.33,9,0.16,8.84,10.16,1.7,8.46,-6.68,165.8,0.16,22.26,71
2012-06-01,55.94,9,0.16,8.84,10.05,1.66,8.39,-14.42,196.45,0.1,22.66,134
2012-07-01,55.42,9,0.16,8.84,9.84,1.41,8.44,-9.43,163.36,0.2,19.92,103
2012-08-01,55.49,9,0.13,8.87,10.31,1.69,8.62,9.02,127.32,0.15,16.61,65
2012-09-01,54.35,9,0.14,8.86,9.14,1.99,7.15,10.57,152.83,0.13,16.11,103
2012-10-01,53.1,9,0.16,8.84,9.6,2.16,7.43,3.69,163.14,0.08,17.12,125
2012-11-01,54.78,9,0.16,8.84,9.55,1.76,7.78,-10.7,171.54,0.12,15.51,76
2012-12-01,54.65,9,0.16,8.84,11.17,1.74,9.43,-10.45,166.3,0.09,16.37,137
2013-01-01,54.23,9,0.14,8.86,11.62,1.59,10.02,-5.37,165.62,0.12,17.57,111
2013-02-01,53.81,8.75,0.15,8.6,12.06,1.98,10.08,-6.83,126.06,0.11,18.75,69
2013-03-01,54.42,8.65,0.14,8.51,11.44,1.47,9.97,-12.23,139.04,0.09,17.91,70
2013-04-01,54.32,8.5,0.15,8.35,10.24,1.06,9.18,-10.9,135.22,0.15,15.79,55
2013-05-01,54.98,8.25,0.11,8.14,10.68,1.36,9.32,0.25,105.25,0.12,15.01,57
2013-06-01,58.38,8.25,0.09,8.16,11.06,1.75,9.3,16.22,117.82,0.12,16.89,173
2013-07-01,59.76,9.25,0.09,9.16,10.85,1.96,8.89,18.78,107.87,0.08,15.04,75
2013-08-01,62.81,10.25,0.08,10.17,10.75,1.52,9.23,13.09,125.25,0.18,13.4,94
2013-09-01,63.65,9.88,0.08,9.8,10.7,1.18,9.51,12.34,132.2,0.13,19.15,132
2013-10-01,61.61,9.12,0.09,9.03,11.06,0.96,10.1,12.23,152.16,0.13,19.51,179
2013-11-01,62.52,8.75,0.08,8.67,11.47,1.24,10.23,8.22,96.52,0.16,15.26,83
2013-12-01,61.81,8.75,0.09,8.66,9.13,1.5,7.63,10.91,121.76,0.08,15.09,82
2014-01-01,62.11,8.8,0.07,8.73,7.24,1.58,5.66,0.25,113.11,0.09,15.26,111
2014-02-01,62.16,9,0.07,8.93,6.73,1.13,5.6,5.66,96.03,0.1,11.62,103
